,ARR_Airline,AC_TYPE,STA_Weekday,STA_time_of_the_day,STA_Month,Registration,Arr_Stand
0,SWISS,525,2,660,1,HBVWM,A14-3
1,JU,AT7,1,20,1,YUALO,B3
2,SWISS,PC12,2,840,1,HBFVO,A14-1
3,JU,AT7,1,410,1,YUALP,C9
4,JU,AT7,1,415,1,YUALN,C10
5,WZZ,320,1,375,1,HALWO,A8
6,WZZ,320,1,755,1,HALPJ,A9
7,OS,DH4,1,470,1,OELGI,A3
8,JU,319,1,475,1,YUAPB,C6
9,JU,319,1,410,1,YUAPJ,C5
10,JU,319,1,435,1,YUAPC,C4
11,JU,AT7,1,425,1,YUALU,C8
12,JU,319,1,400,1,YUAPD,A1
13,JU,319,1,400,1,YUAPE,C3
14,EY,32A,1,745,1,A6EIT,A2
15,JU,AT7,1,430,1,YUALO,C7
16,JU,319,1,610,1,YUAPF,C1
17,TK,73H,1,540,1,TCJFM,A1
18,EZS,319,1,520,1,HBJYM,A5
19,JU,AT7,1,800,1,YUALN,C7
20,QR,320,1,700,1,A7AHB,A1
21,JU,AT7,1,830,1,YUALU,C8
22,EY,32A,1,735,1,A6EIW,C1
23,JU,319,1,740,1,YUAPJ,C6
24,JU,AT7,1,815,1,YUALP,C10
25,JU,AT7,1,805,1,YUALO,C9
26,TU,320,1,745,1,TSIMP,A5
27,WZZ,320,1,755,1,HALWO,A4
28,SU,320,1,775,1,VPBKY,A3
29,JU,319,1,1020,1,YUAPC,C4
30,JU,319,1,1020,1,YUAPE,C3
31,FZ,7M8,1,780,1,A6FME,A1
32,JU,319,1,815,1,YUAPD,C2
33,LH,E95,1,795,1,DAEBB,C5
34,WZ,320,1,840,1,VPBWX,A6
35,LO,E75,1,845,1,SPLIN,A2
36,LX,320,1,880,1,HBIJH,A5
37,OS,DH4,1,910,1,OELGL,A4
38,HV,73W,1,900,1,PHXRX,A3
39,YM,E95,1,915,1,4OAOA,A1
40,JU,319,1,1065,1,YUAPB,C2
41,JU,AT7,1,1115,1,YUALU,C9
42,JU,319,1,1420,1,YUAPD,C1
43,JU,AT7,1,1145,1,YUALN,C10
44,JU,AT7,1,1105,1,YUALP,C8
45,JU,319,1,1085,1,YUAPJ,C6
46,YM,E95,1,1105,1,4OAOB,A1
47,AZ,320,1,1120,1,EIDTH,C3
48,OS,DH4,1,1100,1,OELGE,C4
49,SU,320,1,1125,1,VPBDK,C5
50,WZZ,320,1,1115,1,HALPJ,A4
51,WZZ,320,1,1140,1,HALWO,A3
52,TK,321,1,1225,1,TCJRL,C2
53,OS,DH4,2,470,1,OELGF,A10
54,JU,AT7,2,425,1,YUALV,C10
55,JU,AT7,2,435,1,YUALN,C8
56,SU,32A,1,1415,1,VPBIX,C3
57,JU,AT7,2,450,1,YUALP,C9
58,JU,AT7,2,415,1,YUALU,C7
59,JU,320,2,410,1,YUAPH,A1
60,JU,319,2,395,1,YUAPI,C6
61,JU,319,2,25,1,YUAPJ,C4
62,JU,319,2,390,1,YUAPB,A2
63,JU,320,2,395,1,YUAPG,C2
64,JU,319,2,410,1,YUAPE,C5
65,WZZ,320,2,375,1,HALPJ,A8
66,LH,319,2,410,1,DAILS,A5
67,JU,319,2,375,1,YUAPC,A6
68,WZZ,320,2,390,1,HALWO,A7
69,SM,320,2,330,1,SUBTM,A4
70,EY,32A,2,735,1,A6EIU,C1
71,JU,319,2,400,1,YUAPD,A3
72,TK,73J,2,540,1,TCJYP,A1
73,YM,E95,2,535,1,4OAOC,A5
74,YM,100,2,535,1,4OAOM,A3
75,JU,319,2,795,1,YUAPJ,C6
76,JU,AT7,2,595,1,YUALU,C7
77,WZZ,320,2,630,1,HALPJ,A8
78,EZS,32A,2,655,1,HBJXJ,A2
79,QR,321,2,700,1,A7AID,A1
80,JU,AT7,2,795,1,YUALV,C8
81,AZ,320,2,705,1,EIDTK,A5
82,JU,319,2,795,1,YUAPI,C3
83,JU,AT7,2,805,1,YUALN,C9
84,YM,100,2,705,1,4OAOM,A4
85,JU,AT7,2,800,1,YUALP,C10
86,JU,320,2,740,1,YUAPH,A4
87,EY,320,2,745,1,A6EIN,A3
88,WZZ,320,2,735,1,HALWO,A7
89,JU,320,2,1025,1,YUAPG,C4
90,SU,32A,2,775,1,VQBPV,B4
91,DY,73H,2,755,1,LNNGB,C2
92,JU,319,2,815,1,YUAPE,C5
93,FZ,7M8,2,780,1,A6FMB,A5
94,JU,319,2,1020,1,YUAPD,C6
95,EZY,319,2,790,1,GEZMK,C2
96,JU,AT7,2,830,1,YUALU,C7
97,LH,E95,2,795,1,DAEBB,A8
98,LH,320,2,815,1,DAIPT,A1
99,JU,319,2,1065,1,YUAPC,A4
100,JU,319,2,1065,1,YUAPB,A7
101,LO,E75,2,845,1,SPLIL,A2
102,A3,320,2,865,1,SXDVU,C1
103,ISLE,510,2,870,1,MUSTG,A12-3
104,HRVAT,525,2,885,1,9ADWA,A12-2
105,LX,320,2,885,1,HBIJN,C3
106,OS,DH4,2,910,1,OELGC,A8
107,WZZ,320,2,940,1,HALPJ,A5
108,PINK,56X,2,1020,1,YUSPB,A13-3
109,JU,AT7,2,1060,1,YUALU,C7
110,JU,319,2,1095,1,YUAPE,C3
111,JU,AT7,2,1105,1,YUALP,C8
112,JU,AT7,2,1115,1,YUALV,C10
113,JU,AT7,2,1100,1,YUALN,C9
114,JU,319,2,1035,1,YUAPI,C1
115,JU,319,2,1085,1,YUAPF,C5
116,LH,CR9,2,1015,1,DACKF,A6
117,LO,E95,2,1015,1,SPLNK,A3
118,JU,320,2,1080,1,YUAPH,A1
119,KK,320,2,1055,1,URAJC,A2
120,JU,319,2,1080,1,YUAPJ,C2
121,WZZ,320,2,1060,1,HALWO,A5
122,OS,DH4,2,1100,1,OELGF,C6
123,SU,320,2,1125,1,VQBIW,A3
124,YM,E95,2,1165,1,4OAOC,A2
125,TK,321,2,1225,1,TCJRK,A1
126,OS,DH4,3,470,1,OELGB,A6
127,JU,AT7,3,415,1,YUALN,C10
128,JU,AT7,3,425,1,YUALO,C9
129,JU,319,3,420,1,YUAPI,C6
130,SU,73H,2,1415,1,VQBWC,C1
131,JU,319,2,1395,1,YUAPF,C4
132,JU,AT7,3,30,1,YUALP,C7
133,JU,319,3,405,1,YUAPB,A2
134,JU,AT7,3,25,1,YUALV,B3
135,JU,319,3,30,1,YUAPE,C3
136,JU,319,3,400,1,YUAPJ,C2
137,JU,AT7,3,20,1,YUALU,C8
138,WZZ,320,3,370,1,HALWO,A4
139,JU,320,3,410,1,YUAPG,A1
140,LH,319,3,410,1,DAILC,A5
141,JU,319,3,400,1,YUAPC,C5
142,WZZ,320,3,375,1,HALPJ,A8
143,JU,332,3,440,1,YUARA,C3A
144,EY,32A,3,735,1,A6EIX,C1
145,JU,AT7,3,430,1,YUALU,B4
146,JU,AT7,3,410,1,YUALV,C7
147,JU,AT7,3,435,1,YUALP,C8
148,JU,319,3,475,1,YUAPF,A3
149,TK,73H,3,540,1,TCJVT,A5
150,YM,E95,3,535,1,4OAOA,A1
151,YM,E95,3,535,1,4OAOB,A2
152,RO,AT5,3,560,1,YRATF,C8
153,JU,AT7,3,815,1,YUALN,C7
154,QR,320,3,700,1,A7AHT,A4
155,JU,AT7,3,830,1,YUALU,C8
156,JU,319,3,815,1,YUAPI,A5
157,JU,320,3,740,1,YUAPG,C6
158,HV,73H,3,705,1,PHHZN,A3
159,JU,319,3,795,1,YUAPB,A6
160,WZZ,320,3,710,1,HALWO,A8
161,EY,320,3,745,1,A6EIK,A2
162,JU,AT7,3,800,1,YUALO,C9
163,PC,73H,3,765,1,TCCPJ,C2
164,WZZ,320,3,755,1,HALPJ,A9
165,SU,320,3,775,1,VPBDK,C4
166,FZ,7M8,3,780,1,A6FMC,A1
167,JU,319,3,1020,1,YUAPC,C5
168,EZS,320,3,790,1,HBJXA,A4
169,JU,319,3,1020,1,YUAPJ,A4
170,LH,E95,3,795,1,DAEMC,A7
171,LH,32A,3,815,1,DAIUH,A3
172,PINK,56X,3,840,1,YUPNK,A12-2
173,DP,73H,3,1080,1,VQBTS,A9
174,LX,321,3,880,1,HBIOM,C2
175,OS,DH4,3,910,1,OELGF,A2
176,B2,E75,3,910,1,EW341PO,A6
177,YM,E95,3,915,1,4OAOB,A1
178,JU,319,3,1065,1,YUAPF,C6
179,JU,319,3,1060,1,YUAPI,C4
180,JU,AT7,3,1145,1,YUALT,C8
181,JU,AT7,3,1115,1,YUALU,C9
182,JU,AT7,3,1100,1,YUALO,C7
183,JU,320,3,1025,1,YUAPH,C3
184,LO,E75,3,1015,1,SPLII,A2
185,LH,CR9,3,1015,1,DACNQ,A5
186,JU,320,3,1080,1,YUAPG,C1
187,WZZ,320,3,1095,1,HALWO,A3
188,AZ,320,3,1120,1,EIDTI,A2
189,OS,DH4,3,1100,1,OELGK,A6
190,SU,320,3,1125,1,VQBAY,A5
191,JU,AT7,3,1105,1,YUALN,C10
192,WZZ,320,3,1115,1,HALPJ,A4
193,YM,E95,3,1165,1,4OAOC,A1
194,TK,321,3,1225,1,TCJRK,A2
195,IZ,E95,3,1230,1,4XEMC,A5
196,OS,DH4,4,470,1,OELGN,A10
197,JU,AT7,4,415,1,YUALO,C8
198,SU,73H,3,1415,1,VPBKN,A1
199,JU,AT7,4,600,1,YUALU,B3
200,JU,320,3,1420,1,YUAPG,C3
201,JU,319,4,375,1,YUAPI,A4
202,JU,320,4,410,1,YUAPH,C2
203,WZZ,320,4,375,1,HALPJ,A9
204,JU,319,4,25,1,YUAPC,C4
205,LH,319,4,410,1,DAILS,A5
206,JU,319,4,395,1,YUAPJ,A2
207,WZZ,320,4,390,1,HALWO,A8
208,EY,32A,4,735,1,A6EIU,C1
209,JU,332,4,790,1,YUARA,C3A
210,JU,320,4,400,1,YUAPG,C5
211,TK,73J,4,540,1,TCJYJ,A1
212,YM,E95,4,535,1,4OAOC,A3
213,YM,100,4,535,1,4OAOM,A7
214,EZS,319,4,545,1,HBJYK,A5
215,QB,320,4,615,1,EPFQR,B6
216,JU,319,4,610,1,YUAPC,C2
217,JU,AT7,4,595,1,YUALO,C8
218,MDF,SW4,4,720,1,SXBMT,A13-4
219,WZZ,320,4,630,1,HALPJ,A2
220,QR,320,4,700,1,A7AHE,C6
221,JU,AT7,4,800,1,YUALV,C7
222,AZ,320,4,705,1,EIIKG,A1
223,MDF,SW4,4,1005,1,SXBGU,A14-4
224,JU,319,4,795,1,YUAPD,A4
225,JU,319,4,795,1,YUAPJ,A6
226,JU,AT7,4,805,1,YUALN,C8
227,JU,AT7,4,795,1,YUALP,C9
228,JU,320,4,740,1,YUAPH,C5
229,EY,320,4,745,1,A6EII,A3
230,KK,319,4,735,1,TCATD,A8
231,WZZ,320,4,735,1,HALWO,A9
232,PC,738,4,765,1,TCIZG,A5
233,JU,319,4,795,1,YUAPB,C2
234,SU,32A,4,775,1,VPBTC,A2
235,JU,320,4,1025,1,YUAPG,C6
236,EZY,319,4,790,1,GEZMK,A1
237,LH,E95,4,795,1,DAEBC,A6
238,JU,319,4,815,1,YUAPI,A3
239,LH,3N0,4,815,1,DAINM,C5
240,WZ,320,4,840,1,VPBWW,C1
241,JU,AT7,4,830,1,YUALU,A7
242,JU,AT7,4,1060,1,YUALO,C10
243,LO,E90,4,845,1,SPLMD,A2
244,A3,320,4,865,1,SXDGX,A5
245,LX,320,4,895,1,HBJLQ,C2
246,OS,DH4,4,910,1,OELGO,C4
247,WZZ,320,4,940,1,HALPJ,A4
248,HV,73H,4,945,1,PHHSG,A1
249,QB,320,4,960,1,EPFQR,B6
250,JU,319,4,1065,1,YUAPD,A2
251,JU,AT7,4,1105,1,YUALU,C5
252,JU,319,4,1070,1,YUAPI,C1
253,JU,AT7,4,1115,1,YUALV,C8
254,JU,AT7,4,1100,1,YUALP,C9
255,JU,AT7,4,1145,1,YUALN,C7
256,JU,319,4,1055,1,YUAPJ,C3
257,LH,319,4,1020,1,DAIBB,A3
258,LO,E70,4,1015,1,SPLDH,A6
259,JU,320,4,1080,1,YUAPH,A1
260,JU,319,4,1095,1,YUAPC,C2
261,JU,319,4,1085,1,YUAPB,C4
262,WZZ,320,4,1060,1,HALWO,A4
263,OS,DH4,4,1100,1,OELGO,C6
264,SU,320,4,1125,1,VQBAX,A5
265,YM,E95,4,1155,1,4OAOA,A2
266,TK,321,4,1225,1,TCJRD,A1
267,YM,E95,4,1245,1,4OAOC,A3
268,OS,DH4,5,470,1,OELGA,A6
269,JU,AT7,5,435,1,YUALN,C9
270,SU,320,4,1415,1,VPBMF,A4
271,JU,AT7,5,415,1,YUALU,C7
272,JU,320,4,1420,1,YUAPH,C1
273,JU,AT7,5,425,1,YUALV,C8
274,JU,319,5,400,1,YUAPC,A2
275,WZZ,320,5,375,1,HALWO,A7
276,JU,319,5,395,1,YUAPI,C4
277,JU,320,5,400,1,YUAPG,C6
278,JU,319,5,390,1,YUAPD,A1
279,LH,3N0,5,410,1,DAINN,A5
280,WZZ,320,5,755,1,HALPJ,A8
281,EY,32A,5,735,1,A6EIV,C1
282,JU,319,5,435,1,YUAPE,A4
283,JU,320,5,410,1,YUAPH,C2
284,JU,319,5,410,1,YUAPF,C3
285,TK,73H,5,540,1,TCJGT,A1
286,YM,100,5,535,1,4OAOM,A5
287,LX,32B,5,565,1,HBION,A2
288,QB,320,5,600,1,EPFQR,B4
289,JU,AT7,5,595,1,YUALU,C7
290,B2,CR2,5,610,1,EW277PJ,C8
291,YM,E95,5,615,1,4OAOA,A4
292,JU,332,5,790,1,YUARA,C3A
293,QR,320,5,700,1,A7AHB,A5
294,JU,AT7,5,795,1,YUALV,B3
295,AZ,319,5,700,1,EIIMS,A2
296,JU,319,5,740,1,YUAPF,A3
297,JU,AT7,5,805,1,YUALN,C9
298,JU,AT7,5,800,1,YUALP,C10
299,EY,320,5,745,1,A6EIR,A4
300,JU,320,5,740,1,YUAPH,A1
301,ADN,B350,5,705,1,DCUTE,A11-2
302,JU,319,5,1065,1,YUAPI,C5
303,WZZ,320,5,755,1,HALWO,A9
304,SU,32A,5,775,1,VQBST,C6
305,JU,319,5,795,1,YUAPE,A6
306,JU,319,5,1010,1,YUAPC,A4
307,FZ,7M8,5,780,1,A6FMG,A5
308,JU,319,5,1020,1,YUAPD,A3
309,JU,AT7,5,830,1,YUALU,C7
310,LH,320,5,805,1,DAIQU,A2
311,WZ,320,5,840,1,VPBWW,A1
312,LO,E70,5,845,1,SPLDF,C1
313,AMER,TBM8,5,870,1,N850LH,A12-2
314,LX,CS3,5,885,1,HBJCE,C1
315,OS,DH4,5,910,1,OELGA,C4
316,YM,100,5,915,1,4OAOM,A5
317,QB,320,5,965,1,EPFQR,B3
318,JU,AT7,5,1115,1,YUALU,C6
319,JU,319,5,1095,1,YUAPE,C2
320,JU,319,5,1075,1,YUAPF,A2
321,JU,AT7,5,1145,1,YUALN,C7
322,LH,CR9,5,1015,1,DACNL,A5
323,JU,320,5,1420,1,YUAPH,C1
324,SU,320,5,1125,1,VQBPU,C4
325,WZZ,320,5,1115,1,HALWO,A4
326,WZZ,320,5,1140,1,HALPJ,A3
327,YM,E95,5,1165,1,4OAOA,C2
328,TK,73H,5,1225,1,TCJGS,A2
329,DY,73H,5,1260,1,LNNGR,A5
330,SU,320,5,1415,1,VPBWD,A4
331,EY,32A,1,320,1,A6EIT,A2
332,JU,AT7,1,325,1,YUALO,C7
333,JU,319,1,355,1,YUAPF,C1
334,TK,73H,1,485,1,TCJFM,A1
335,EZS,319,1,485,1,HBJYM,A5
336,JU,AT7,1,565,1,YUALN,C7
337,QR,320,1,640,1,A7AHB,A1
338,JU,AT7,1,645,1,YUALU,C8
339,EY,32A,1,670,1,A6EIW,C1
340,JU,319,1,670,1,YUAPJ,C6
341,JU,AT7,1,685,1,YUALP,C10
342,JU,AT7,1,685,1,YUALO,C9
343,TU,320,1,695,1,TSIMP,A5
344,WZZ,320,1,710,1,HALWO,A4
345,SU,320,1,715,1,VPBKY,A3
346,JU,319,1,720,1,YUAPC,C4
347,JU,319,1,735,1,YUAPE,C3
348,FZ,7M8,1,735,1,A6FME,A1
349,JU,319,1,750,1,YUAPD,C2
350,LH,E95,1,760,1,DAEBB,C5
351,WZ,320,1,780,1,VPBWX,A6
352,LO,E75,1,810,1,SPLIN,A2
353,LX,320,1,840,1,HBIJH,A5
354,OS,DH4,1,850,1,OELGL,A4
355,HV,73W,1,855,1,PHXRX,A3
356,YM,E95,1,875,1,4OAOA,A1
357,JU,319,1,955,1,YUAPB,C2
358,JU,AT7,1,960,1,YUALU,C9
359,JU,319,1,960,1,YUAPD,C1
360,JU,AT7,1,970,1,YUALN,C10
361,JU,AT7,1,975,1,YUALP,C8
362,JU,319,1,975,1,YUAPJ,C6
363,YM,E95,1,1065,1,4OAOB,A1
364,AZ,320,1,1070,1,EIDTH,C3
365,OS,DH4,1,1070,1,OELGE,C4
366,SU,320,1,1075,1,VPBDK,C5
367,WZZ,320,1,1085,1,HALPJ,A4
368,WZZ,320,1,1095,1,HALWO,A3
369,TK,321,1,1170,1,TCJRL,C2
370,OS,DH4,1,1290,1,OELGF,A10
371,JU,AT7,1,1305,1,YUALV,C10
372,JU,AT7,1,1310,1,YUALN,C8
373,SU,32A,1,1325,1,VPBIX,C3
374,JU,AT7,1,1330,1,YUALP,C9
375,JU,AT7,1,1340,1,YUALU,C7
376,JU,320,1,1340,1,YUAPH,A1
377,JU,319,1,1345,1,YUAPI,C6
378,JU,319,1,1350,1,YUAPJ,C4
379,JU,319,1,1360,1,YUAPB,A2
380,JU,320,1,1375,1,YUAPG,C2
381,JU,319,1,1380,1,YUAPE,C5
382,WZZ,320,1,1395,1,HALPJ,A8
383,LH,319,1,1415,1,DAILS,A5
384,JU,319,1,1420,1,YUAPC,A6
385,WZZ,320,2,80,1,HALWO,A7
386,SM,320,2,270,1,SUBTM,A4
387,EY,32A,2,320,1,A6EIU,C1
388,JU,319,2,350,1,YUAPD,A3
389,TK,73J,2,485,1,TCJYP,A1
390,YM,E95,2,495,1,4OAOC,A5
391,YM,100,2,495,1,4OAOM,A3
392,JU,319,2,560,1,YUAPJ,C6
393,JU,AT7,2,565,1,YUALU,C7
394,WZZ,320,2,600,1,HALPJ,A8
395,EZS,32A,2,620,1,HBJXJ,A2
396,QR,321,2,640,1,A7AID,A1
397,JU,AT7,2,645,1,YUALV,C8
398,AZ,320,2,650,1,EIDTK,A5
399,JU,319,2,660,1,YUAPI,C3
400,JU,AT7,2,665,1,YUALN,C9
401,YM,100,2,665,1,4OAOM,A4
402,JU,AT7,2,665,1,YUALP,C10
403,JU,320,2,670,1,YUAPH,A4
404,EY,320,2,670,1,A6EIN,A3
405,WZZ,320,2,690,1,HALWO,A7
406,JU,320,2,700,1,YUAPG,C4
407,SU,32A,2,715,1,VQBPV,A2
408,DY,73H,2,715,1,LNNGB,C2
409,JU,319,2,725,1,YUAPE,C5
410,FZ,7M8,2,735,1,A6FMB,A5
411,JU,319,2,750,1,YUAPD,A9
412,EZY,319,2,755,1,GEZMK,C2
413,JU,AT7,2,755,1,YUALU,C7
414,LH,E95,2,760,1,DAEBB,A8
415,LH,320,2,760,1,DAIPT,A1
416,JU,319,2,770,1,YUAPC,A4
417,JU,319,2,780,1,YUAPB,A7
418,LO,E75,2,810,1,SPLIL,A2
419,A3,320,2,820,1,SXDVU,C1
420,ISLE,510,2,825,1,MUSTG,A12-3
421,HRVAT,525,2,825,1,9ADWA,A12-2
422,LX,320,2,840,1,HBIJN,C3
423,OS,DH4,2,850,1,OELGC,A8
424,WZZ,320,2,895,1,HALPJ,A5
425,PINK,56X,2,960,1,YUSPB,A13-3
426,JU,AT7,2,960,1,YUALU,C7
427,JU,319,2,960,1,YUAPE,C3
428,JU,AT7,2,970,1,YUALP,C8
429,JU,AT7,2,975,1,YUALV,C10
430,JU,AT7,2,975,1,YUALN,C9
431,JU,319,2,975,1,YUAPI,C1
432,JU,319,2,975,1,YUAPF,C5
433,LH,CR9,2,980,1,DACKF,A6
434,LO,E95,2,980,1,SPLNK,A3
435,JU,320,2,1005,1,YUAPH,A1
436,KK,320,2,1010,1,URAJC,A2
437,JU,319,2,1030,1,YUAPJ,C2
438,WZZ,320,2,1030,1,HALWO,A5
439,OS,DH4,2,1070,1,OELGF,C6
440,SU,320,2,1075,1,VQBIW,A3
441,YM,E95,2,1125,1,4OAOC,A2
442,TK,321,2,1170,1,TCJRK,A1
443,OS,DH4,2,1290,1,OELGB,A6
444,JU,AT7,2,1305,1,YUALN,C10
445,JU,AT7,2,1310,1,YUALO,C9
446,JU,319,2,1315,1,YUAPI,C6
447,SU,73H,2,1315,1,VQBWC,C1
448,JU,319,2,1320,1,YUAPF,C4
449,JU,AT7,2,1330,1,YUALP,C7
450,JU,319,2,1340,1,YUAPB,A2
451,JU,AT7,2,1340,1,YUALV,B3
452,JU,319,2,1345,1,YUAPE,C3
453,JU,319,2,1345,1,YUAPJ,C2
454,JU,AT7,2,1350,1,YUALU,C8
455,WZZ,320,2,1370,1,HALWO,A4
456,JU,320,2,1375,1,YUAPG,A1
457,LH,319,2,1415,1,DAILC,A5
458,JU,319,2,1415,1,YUAPC,C5
459,WZZ,320,3,20,1,HALPJ,A8
460,JU,332,3,320,1,YUARA,C3A
461,EY,32A,3,320,1,A6EIX,C1
462,JU,AT7,3,325,1,YUALU,B4
463,JU,AT7,3,330,1,YUALV,C7
464,JU,AT7,3,330,1,YUALP,C8
465,JU,319,3,355,1,YUAPF,A3
466,TK,73H,3,485,1,TCJVT,A5
467,YM,E95,3,495,1,4OAOA,A1
468,YM,E95,3,495,1,4OAOB,A2
469,RO,AT5,3,525,1,YRATF,C8
470,JU,AT7,3,565,1,YUALN,C7
471,QR,320,3,640,1,A7AHT,A4
472,JU,AT7,3,650,1,YUALU,C8
473,JU,319,3,655,1,YUAPI,A5
474,JU,320,3,660,1,YUAPG,C6
475,HV,73H,3,660,1,PHHZN,A3
476,JU,319,3,660,1,YUAPB,A6
477,WZZ,320,3,665,1,HALWO,A8
478,EY,320,3,670,1,A6EIK,A2
479,JU,AT7,3,680,1,YUALO,C9
480,PC,73H,3,695,1,TCCPJ,C2
481,WZZ,320,3,710,1,HALPJ,A9
482,SU,320,3,715,1,VPBDK,C4
483,FZ,7M8,3,735,1,A6FMC,A1
484,JU,319,3,750,1,YUAPC,C5
485,EZS,320,3,755,1,HBJXA,A4
486,JU,319,3,755,1,YUAPJ,A8
487,LH,E95,3,760,1,DAEMC,A7
488,LH,32A,3,760,1,DAIUH,A3
489,PINK,56X,3,795,1,YUPNK,A12-2
490,PBD,73H,3,810,1,VQBTS,B5
491,LX,321,3,840,1,HBIOM,C2
492,OS,DH4,3,850,1,OELGF,A2
493,B2,E75,3,870,1,EW341PO,A6
494,YM,E95,3,875,1,4OAOB,A1
495,JU,319,3,955,1,YUAPF,C6
496,JU,319,3,960,1,YUAPI,C4
497,JU,AT7,3,960,1,YUALT,C8
498,JU,AT7,3,965,1,YUALU,C9
499,JU,AT7,3,970,1,YUALO,C7
500,JU,320,3,975,1,YUAPH,C3
501,LO,E75,3,980,1,SPLII,A2
502,LH,CR9,3,980,1,DACNQ,A5
503,JU,320,3,1005,1,YUAPG,C1
504,WZZ,320,3,1050,1,HALWO,A3
505,AZ,320,3,1070,1,EIDTI,A2
506,OS,DH4,3,1070,1,OELGK,A6
507,SU,320,3,1075,1,VQBAY,A5
508,JU,AT7,3,1080,1,YUALN,C10
509,WZZ,320,3,1085,1,HALPJ,A4
510,YM,E95,3,1125,1,4OAOC,A1
511,TK,321,3,1170,1,TCJRK,A2
512,IZ,E95,3,1170,1,4XEMC,A5
513,OS,DH4,3,1290,1,OELGN,A10
514,JU,AT7,3,1305,1,YUALO,C8
515,SU,73H,3,1315,1,VPBKN,A1
516,JU,AT7,3,1340,1,YUALU,B3
517,JU,320,3,1340,1,YUAPG,C3
518,JU,319,3,1360,1,YUAPI,A4
519,JU,320,3,1375,1,YUAPH,C2
520,WZZ,320,3,1375,1,HALPJ,A9
521,JU,319,3,1380,1,YUAPC,C4
522,LH,319,3,1415,1,DAILS,A5
523,JU,319,3,1420,1,YUAPJ,A2
524,WZZ,320,4,35,1,HALWO,A8
525,EY,32A,4,320,1,A6EIU,C1
526,JU,332,4,320,1,YUARA,C3A
527,JU,320,4,350,1,YUAPG,C5
528,TK,73J,4,485,1,TCJYJ,A1
529,YM,E95,4,495,1,4OAOC,A3
530,YM,100,4,495,1,4OAOM,A7
531,EZS,319,4,510,1,HBJYK,A5
532,QB,320,4,555,1,EPFQR,B6
533,JU,319,4,560,1,YUAPC,C2
534,JU,AT7,4,565,1,YUALO,C8
535,MDF,SW4,4,590,1,SXBMT,A13-4
536,WZZ,320,4,600,1,HALPJ,A2
537,QR,320,4,640,1,A7AHE,C6
538,JU,AT7,4,645,1,YUALV,C7
539,AZ,320,4,650,1,EIIKG,A1
540,MDF,SW4,4,660,1,SXBGU,A14-4
541,JU,319,4,660,1,YUAPD,A4
542,JU,319,4,660,1,YUAPJ,A6
543,JU,AT7,4,665,1,YUALN,C8
544,JU,AT7,4,665,1,YUALP,C9
545,JU,320,4,670,1,YUAPH,C5
546,EY,320,4,670,1,A6EII,A3
547,KK,319,4,675,1,TCATD,A8
548,WZZ,320,4,690,1,HALWO,A9
549,PC,738,4,695,1,TCIZG,A5
550,JU,319,4,695,1,YUAPB,C2
551,SU,32A,4,715,1,VPBTC,A2
552,JU,320,4,750,1,YUAPG,C6
553,EZY,319,4,755,1,GEZMK,A1
554,LH,E95,4,760,1,DAEBC,A6
555,JU,319,4,770,1,YUAPI,A3
556,LH,3N0,4,770,1,DAINM,C5
557,WZ,320,4,780,1,VPBWW,C1
558,JU,AT7,4,780,1,YUALU,A7
559,JU,AT7,4,780,1,YUALO,C10
560,LO,E90,4,810,1,SPLMD,A2
561,A3,320,4,820,1,SXDGX,A5
562,LX,320,4,840,1,HBJLQ,C2
563,OS,DH4,4,850,1,OELGO,C4
564,WZZ,320,4,895,1,HALPJ,A4
565,HV,73H,4,900,1,PHHSG,A1
566,QB,320,4,905,1,EPFQR,B6
567,JU,319,4,945,1,YUAPD,A2
568,JU,AT7,4,960,1,YUALU,C5
569,JU,319,4,965,1,YUAPI,C1
570,JU,AT7,4,970,1,YUALV,C8
571,JU,AT7,4,975,1,YUALP,C9
572,JU,AT7,4,975,1,YUALN,C7
573,JU,319,4,975,1,YUAPJ,C3
574,LH,319,4,980,1,DAIBB,A3
575,LO,E70,4,980,1,SPLDH,A6
576,JU,320,4,1005,1,YUAPH,A1
577,JU,319,4,1020,1,YUAPC,C2
578,JU,319,4,1030,1,YUAPB,C4
579,WZZ,320,4,1030,1,HALWO,A4
580,OS,DH4,4,1070,1,OELGO,C6
581,SU,320,4,1075,1,VQBAX,A5
582,YM,E95,4,1115,1,4OAOA,A2
583,TK,321,4,1170,1,TCJRD,A1
584,YM,E95,4,1205,1,4OAOC,A3
585,OS,DH4,4,1290,1,OELGA,A6
586,JU,AT7,4,1310,1,YUALN,C9
587,SU,320,4,1315,1,VPBMF,A4
588,JU,AT7,4,1330,1,YUALU,C7
589,JU,320,4,1340,1,YUAPH,C1
590,JU,AT7,4,1340,1,YUALV,C8
591,JU,319,4,1345,1,YUAPC,A2
592,WZZ,320,4,1370,1,HALWO,A7
593,JU,319,4,1375,1,YUAPI,C4
594,JU,320,4,1375,1,YUAPG,C6
595,JU,319,4,1400,1,YUAPD,A1
596,LH,3N0,4,1415,1,DAINN,A5
597,WZZ,320,5,20,1,HALPJ,A8
598,EY,32A,5,320,1,A6EIV,C1
599,JU,319,5,345,1,YUAPE,A4
600,JU,320,5,350,1,YUAPH,C2
601,JU,319,5,355,1,YUAPF,C3
602,TK,73H,5,485,1,TCJGT,A1
603,YM,100,5,495,1,4OAOM,A5
