,ARR_Airline,AC_TYPE,STA_Weekday,STA_time_of_the_day,STA_Month,Registration,Arr_Stand
5622,JU,AT7,2,960,2,YUALT,C7
5623,JU,AT7,2,970,2,YUALV,C8
5624,JU,319,2,975,2,YUAPJ,C3
5625,JU,AT7,2,975,2,YUALO,C9
5626,JU,AT7,2,975,2,YUALU,C10
5627,LH,CR9,2,980,2,DACKE,A4
5628,LO,E95,2,980,2,SPLNK,A3
5629,KK,320,2,1010,2,TCATT,A2
5630,JU,319,2,1020,2,YUAPI,C1
5631,JU,319,2,1030,2,YUAPD,C5
5632,WZZ,32A,2,1030,2,HALYP,A5
5633,FRF,SF3,2,1050,2,HATAB,B7
5634,OS,DH4,2,1070,2,OELGR,A3
5635,SU,320,2,1075,2,VQBHN,A1
5636,YM,E95,2,1125,2,4OAOA,A4
5637,EY,77X,2,1130,2,A6DDA,N1A
5638,TK,321,2,1170,2,TCJRJ,A1
5639,RO,AT5,2,1215,2,YRATG,C1
5640,OS,DH4,2,1290,2,OELGR,A4
5641,JU,AT7,2,1305,2,YUALT,C9
5642,JU,AT7,2,1310,2,YUALP,B3
5643,JU,319,2,1315,2,YUAPB,A3
5644,SU,320,2,1315,2,VPBET,A2
5645,JU,319,2,1320,2,YUAPD,C6
5646,JU,AT7,2,1330,2,YUALU,C8
5647,JU,AT7,2,1340,2,YUALO,C7
5648,JU,319,2,1340,2,YUAPJ,C5
5649,JU,AT7,2,1350,2,YUALV,C10
5650,WZZ,32A,2,1370,2,HALYP,A8
5651,JU,319,2,1375,2,YUAPE,C1
5652,JU,319,2,1400,2,YUAPA,C2
5653,LH,319,2,1415,2,DAILF,A5
5654,EY,32A,3,320,2,A6EIS,A2
5655,JU,AT7,3,325,2,YUALV,C10
5656,JU,AT7,3,330,2,YUALO,C7
5657,JU,AT7,3,330,2,YUALU,C8
5658,TK,738,3,485,2,TCLCE,A1
5659,YM,E95,3,495,2,4OAOB,A4
5660,YM,E95,3,495,2,4OAOC,A5
5661,JU,319,3,520,2,YUAPI,C1
5662,RO,AT5,3,525,2,YRATE,A6
5663,JU,AT7,3,565,2,YUALP,C7
5664,QR,320,3,640,2,A7ADD,C2
5665,JU,AT7,3,645,2,YUALV,C9
5666,JU,319,3,660,2,YUAPB,C3
5667,JU,319,3,660,2,YUAPJ,C6
5668,HV,73W,3,660,2,PHXRA,A5
5669,JU,AT7,3,665,2,YUALU,C8
5670,JU,AT7,3,680,2,YUALO,B3
5671,JU,AT7,3,685,2,YUALT,C10
5672,PC,73H,3,695,2,TCAZP,A1
5673,SU,32A,3,715,2,VPBJA,A4
5674,FZ,7M8,3,735,2,A6FMD,C4
5675,JU,319,3,735,2,YUAPA,C1
5676,JU,319,3,750,2,YUAPE,C5
5677,EZS,32A,3,755,2,HBJXJ,A3
5678,LH,3N0,3,760,2,DAINL,C2
5679,LH,E95,3,760,2,DAEBB,A5
5680,UKL,ANF,3,780,2,URCGW,B7
5681,HUNGAR,525,3,805,2,HAKAR,A13-1
5682,LX,320,3,840,2,HBIJS,A2
5683,OS,DH4,3,850,2,OELGK,A4
5684,YM,E95,3,935,2,4OAOC,A5
5685,JU,319,3,955,2,YUAPD,C2
5686,JU,AT7,3,960,2,YUALU,C9
5687,JU,AT7,3,965,2,YUALT,C7
5688,JU,AT7,3,970,2,YUALO,C8
5689,JU,319,3,975,2,YUAPA,C1
5690,JU,319,3,975,2,YUAPJ,C4
5691,JU,AT7,3,975,2,YUALP,C10
5692,LH,CR9,3,980,2,DACNT,A4
5693,LO,E90,3,980,2,SPLMB,A2
5694,JU,319,3,1005,2,YUAPB,C3
5695,JU,319,3,1020,2,YUAPI,A1
5696,AZ,320,3,1070,2,EIEIE,A4
5697,OS,DH4,3,1070,2,OELGL,C6
5698,SU,320,3,1075,2,VPBWF,A2
5699,MTL,A26,3,1080,2,YLRAD,B5
5700,TYW,GR1,3,1095,2,OEGBD,A13-3
5701,YM,E95,3,1125,2,4OAOB,A3
5702,RO,AT5,3,1145,2,YRATF,C5
5703,B2,CR2,3,1165,2,EW303PJ,A5
5704,TK,320,3,1170,2,TCJPR,A1
5705,OS,DH4,3,1290,2,OELGL,A6
5706,SRN,AT7,3,1290,2,SPSPC,B4
5707,JU,AT7,3,1305,2,YUALT,C10
5708,SU,321,3,1315,2,VPBKI,A5
5709,PINK,56X,3,1320,2,YUSPB,A12-3
5710,JU,AT7,3,1330,2,YUALU,C8
5711,JU,AT7,3,1340,2,YUALO,C9
5712,JU,319,3,1340,2,YUAPI,C6
5713,FRV,GLF5,3,1350,2,CNMMT,B4
5714,JU,319,3,1360,2,YUAPA,C1
5715,JU,319,3,1360,2,YUAPB,A2
5716,JU,319,3,1375,2,YUAPE,A1
5717,WZZ,32A,3,1375,2,HALYP,A4
5718,JU,319,3,1380,2,YUAPD,C5
5719,LH,319,3,1415,2,DAILX,C2
5720,WZZ,32A,4,35,2,HALYR,A3
5721,JU,733,4,130,2,YUANK,A5
5722,EY,32A,4,320,2,A6EIX,C1
5723,TK,73H,4,485,2,TCJVG,A1
5724,YM,E95,4,495,2,4OAOB,A3
5725,YM,E95,4,495,2,4OAOC,A4
5726,EZS,319,4,510,2,HBJYG,C2
5727,RO,AT5,4,525,2,YRATG,C8
5728,SLOVEN,56X,4,555,2,S5BDM,A13-3
5729,JU,319,4,560,2,YUAPA,C3
5730,JU,AT7,4,565,2,YUALV,C7
5731,ISLE,F2TH,4,570,2,MSFOZ,A11-2
5732,WZZ,32A,4,600,2,HALYP,A5
5733,QR,321,4,640,2,A7ADS,A2
5734,JU,AT7,4,645,2,YUALO,C8
5735,JU,319,4,650,2,YUAPJ,A5
5736,AZ,319,4,650,2,EIIML,A4
